URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,61,32,0.3118279536362586,0.09548254610320067,56.5,25.608407079646017,32.84336283185841,56.5,463,974,1.898783185840708,5,5.714601769911504
79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,21,70,-0.5384615325443788,0.21980676275408995,53.0,15.193644488579942,27.277457795431975,53.0,153,414,1.571002979145978,5,4.860973187686197
106,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,6,3,0.33333329629630043,0.03982300867334952,83.8,23.389021479713605,42.875608591885445,83.8,98,226,1.8138424821002386,5,5.548926014319809
123,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,36,82,-0.38983050517092793,0.1469489412864895,40.577777777777776,17.250821467688937,23.131439698186686,40.577777777777776,315,803,1.6631982475355969,5,5.067907995618839
128,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,30,49,-0.24050632606954017,0.1894484407926896,145.42857142857142,16.601178781925345,64.81190008419871,145.42857142857142,169,417,1.6110019646365423,5,4.8919449901768175
133,https://insights.blackcoffer.com/continued-demand-for-sustainability/,48,32,0.19999999750000003,0.14897579115646967,126.25,29.306930693069305,62.22277227722773,126.25,296,537,1.9861386138613861,5,5.906930693069307
138,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,5,11,-0.37499997656250145,0.137931033293698,24.545454545454547,22.962962962962962,19.003367003367003,24.545454545454547,62,116,1.7333333333333334,5,5.218518518518518
143,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,5,24,-0.655172391200952,0.09666666634444444,63.8,18.495297805642632,32.91811912225705,63.8,118,300,1.7523510971786833,5,5.158307210031348
145,https://insights.blackcoffer.com/blockchain-in-fintech/,15,15,0.0,0.07317073152885188,96.4,17.219917012448132,45.44796680497926,96.4,166,410,1.679460580912863,5,5.189834024896266
147,https://insights.blackcoffer.com/the-future-of-investing/,37,12,0.5102040712203251,0.0645586296909636,131.08333333333334,19.00826446280992,60.036639118457316,131.08333333333334,299,759,1.7037507946598855,5,5.17418944691672
149,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,32,4,0.7777777561728402,0.09230769207100592,66.81818181818181,28.57142857142857,38.15584415584416,66.81818181818181,210,390,1.9156462585034013,5,5.771428571428571
